id,last_name,first_name,advisor1_id,advisor2_id,advisor3_id,institution_highest_degree,year_graduated,year_born,citizenship,repec,wiki,math_genealogy
1,Williams,Colin,2,3,4,University of Virginia,,,,,,
2,Friedberg,Leora,5,6,7,MIT,1996,,,https://genealogy.repec.org/pages/pfr217.html,,
3,Lockwood,Lee,9,10,,University of Chicago,2010,,US,https://genealogy.repec.org/pages/plo281.html,,
4,Coşar,Kerem,8,,,Penn State,2010,,Turkey,https://genealogy.repec.org/pages/pco958.html,,
5,Poterba,James,12,13,,University of Oxford,1983,1958,US,https://genealogy.repec.org/pages/ppo19.html,,
6,Hausman,Jerry,24,25,,University of Oxford,1973,1946,US,https://genealogy.repec.org/pages/pha893.html,https://en.wikipedia.org/wiki/Jerry_A._Hausman,https://mathgenealogy.org/id.php?id=46609
7,Gruber,Jonathan,54,,,Harvard University,1992,1965,US,https://en.wikipedia.org/wiki/Jonathan_Gruber_(economist),,https://www.mathgenealogy.org/id.php?id=201579
8,Tybout,James,48,,,University of Wisconsin,1980,1953,US,,,https://www.mathgenealogy.org/id.php?id=226069
9,Becker,Gary,11,,,University of Chicago,1955,1930,US,https://genealogy.repec.org/pages/pbe29.html,,
10,Neal,Derek A.,14,,,,,,,https://genealogy.repec.org/pages/pne138.html,,
11,Lewis,Harold Gregg,17,,,University of Chicago,1947,1914,US,,https://en.wikipedia.org/wiki/H._Gregg_Lewis,https://www.mathgenealogy.org/id.php?id=199306
12,Hendry,David F.,16,,,London School of Economics,1970,,,https://genealogy.repec.org/pages/phe33.html,,
13,King,Mervyn,NA,,,,,,,,"https://en.wikipedia.org/wiki/Mervyn_King,_Baron_King_of_Lothbury",
14,Stern,Steven,15,,,Yale University,1985,,US,https://genealogy.repec.org/pages/pst48.html,,https://www.mathgenealogy.org/id.php?id=214502
15,Milgrom,Paul,39,,,Stanford University,1978,,US,,,https://www.mathgenealogy.org/id.php?id=200030
16,Sargan,J. Denis,NA,,,University of Cambridge,1947,,,https://genealogy.repec.org/pages/psa394.html,https://en.wikipedia.org/wiki/Denis_Sargan,https://www.mathgenealogy.org/id.php?id=119259
17,Schultz,Henry,18,,,Columbia University,1925,1893,Russia,,https://en.wikipedia.org/wiki/Henry_Schultz,https://www.mathgenealogy.org/id.php?id=122490
18,Moore,Henry Ludwell,19,20,,Johns Hopkins University,1896,1869,US,,https://en.wikipedia.org/wiki/Henry_Ludwell_Moore,https://www.mathgenealogy.org/id.php?id=122450
19,Newcomb,Simon,46,,,Harvard University,1858,1835,Canada,,https://en.wikipedia.org/wiki/Simon_Newcomb,
20,Clark,John Bates,21,,,University of Heidelberg,1875,1847,US,,https://en.wikipedia.org/wiki/John_Bates_Clark,
21,Knies,Karl,22,,,University of Marburg,,1821,Germany,,https://en.wikipedia.org/wiki/Karl_Knies,
22,Hildebrand,Bruno,23,,,,,1812,Germany,,https://en.wikipedia.org/wiki/Bruno_Hildebrand,
